x,y,amenity,name,atm,name:en,operator,int_name,addr:street,addr:postcode,addr:city,name:mk,addr:housenumber,opening_hours,website,addr:city:en,addr:country,drive_through,phone,wheelchair,level
22.1912378,41.7377782,bank,,,,,,,,,,,,,,,,,,
22.1923301,41.7372304,bank,Шпаркасе Банка,,,,,,,,Шпаркасе Банка,,,,,,,,,
22.1928335,41.7369891,bank,Комерцијална Банка АД Скопје,,,,,,,,Комерцијална Банка АД Скопје,,,,,,,,,
21.2195044,41.5075945,bank,Komercijalna banka,,,,,,,,,,"Mo-Fr 09:00-16:30,Sa 08:00-14:00",,,,,+389 45 274-144,,
21.3569046,42.0066846,bank,,,,,,,,,,,,,,,,,,
21.3575912,42.0064182,bank,Шпаркасе,,Sparkasse,,Šparkase,,1000,,Шпаркасе Банка-Ѓорче Петров,,Mo-Fr 08:30-16:30,https://sparkasse.mk,,,,+389 2 2050514,,
21.3591854,42.0065707,bank,Halkbank,,,,,Булевар Ѓорче Петров,,,,27,,,,,,,,
21.3592596,42.0066611,bank,,,,,,,,,,,,,,,,,,
21.3650349,42.0069351,bank,Komercijalna banka,yes,,,,,,,,,,,,,,,,
21.3658492,42.0069917,bank,,,,,,,,,,,,,,,,,,
21.3681939,42.0063452,bank,Тутунска банка,yes,,,,,,,,,,,,,,,,
21.3682515,42.0073792,bank,Stopanska banka,yes,,,,,,,,,,,,,,,,
21.3683899,42.0075172,bank,Komercijalna banka,yes,,,,,,,,,,,,,,,,
21.3687237,42.0080679,bank,,,,,,,,,,,,,,,,,,
21.4326259,41.9934567,bank,Halkbank,,,,,,,,,,,,,,,,,
21.4335756,41.9947783,bank,,,,Уни Банка,,,,,,,,,,,,,,
21.4332758,41.9957098,bank,Стопанска банка,,Stopanska Banka,Стопанска Банка АД - Скопје,Stopanska Banka,,,,,,,,,,,,,
21.4336687,41.9955887,bank,Стопанска банка,,Stopanska Banka,Стопанска Банка АД - Скопје,Stopanska Banka,,,,,,,,,,,,,
21.4345705,41.9952945,bank,НЛБ Тутунска банка,yes,,,NLB Tutunska banka,Кеј 13 Ноември,1000,Cкoпje,,28,,,Skopje,MK,,,,
21.4327865,41.9876789,bank,Стопанска Банка,,,,,,,,,,,,,,,,,
21.4327574,41.9876902,bank,,,,Стопанска Банка,,,,,,,,,,,,,,
21.4168385,42.0001277,bank,,,,,,,,,,,,,,,,,,
21.4184814,41.9993025,bank,Sparkasse,,,,,,,,,,,,,,,,,
21.4189624,41.9991977,bank,,,,,,,,,,,,,,,,,,
21.4205887,41.998869,bank,Стопанска Банка,yes,Stopanska Banka,Стопанска Банка АД - Скопје,Stopanska Banka,,,,,,,,,,,,,
21.4214121,41.9987104,bank,Комерцијална Банка,yes,Komercijalna Bank,Комерцијална Банка АД Скопје,,,,,,,Mo-Fr 07:30-18:00; Sa 08:00-13:00,,,,,,,
21.4225838,41.9984708,bank,,,,,,,,,,,,,,,,,,
21.4244409,41.9916695,bank,Зират Банка,,Zirat Bank,,,Јордан Мијалков,,,,,,,,,,,,
21.4172424,41.9938028,bank,Охридска Банка,,,,,,,,,,,,,,,,,
21.4177179,41.9937486,bank,Шпаркасе Банка,,,,,,,,,,,,,,,,,
22.3364377,42.206231,bank,Stater,yes,,,,,,,,,,,,,,,,
22.33663,42.2059393,bank,Uni Banka AD,yes,,,,,,,,,,,,,,,,
22.336761,42.2064607,bank,Stopanska Banka AD,yes,,,,,,,,,,,,,,,,
21.4426424,42.0134893,bank,Охридска Банка,,,,,Џон Кенеди,,,,,,,,,,,,
21.4452794,42.0136832,bank,Шпаркасе,,Sparkasse,Шпаркасе Банка Македонија АД Скопје,Šparkase,Булевар Цветан Димов,1000,Cкoпje,,,,,Skopje,MK,,,,
21.4457121,42.0142495,bank,Halkbank,yes,,,,Булевар Христијан Тодоровски Карпош,,,,,,,,,,,,
22.589205,42.0219877,bank,Komercijalna Bank,yes,,,,,,,,,Mo-Fr 09:00-16:00,,,,,,,
22.59005,42.0221401,bank,Stopanska Bank,yes,,,,,,,,,,,,,,,,
21.3909928,42.0046784,bank,Комерцијална Банка,yes,Komercijalna Banka,Комерцијална Банка АД Скопје,Komercijalna Banka,,,,,,,,,,,,yes,
21.3964504,42.0034052,bank,Halkbank,yes,,,,,,,,,,,,,,,,0
21.3863849,42.0038557,bank,Стопанска Банка,yes,Stopanska Banka,Стопанска Банка АД - Скопје,Stopanska Banka,,,,,,,,,,,,,
21.3833142,42.005028,bank,Тутунска Банка Карпош 4,yes,,НЛБ - Тутунска Банка,,,,,,,,,,,,,,
21.3931155,42.0072958,bank,Прокредит ванка,,Procredit Bank,,,,,,Прокредит ванка,,,,,,,,,
21.4723253,41.980457,bank,,,,,,,,,,,,,,,,,,
21.4699969,41.983772,bank,Sparkasse,yes,,,,Булевар Јане Сандански,,,,,,,,,,,,
21.4724684,41.982843,bank,,,,,,,,,,,,,,,,,,
21.4752946,41.9810724,bank,,,,,,,,,,,,,,,,,,
21.4752453,41.9811869,bank,,,,,,,,,,,,,,,,,,
21.4681788,41.9847822,bank,Прокредит Банка,,,,,,,,,,,,,,,,,
21.3318349,42.0037315,bank,NLB Banka,,,,,,,,,,,,,,,,,
20.9797522,42.0060454,bank,Комерцијална Банка,yes,Komercijalna Bank,,,,,,,,,,,,,,,
20.9900228,42.0050332,bank,TTK Banka,,,,,,,,,,,,,,,,,
21.4111045,41.9937698,bank,,,,,,Франклин Рузвелт,,,,1,Mo-Su 08:00-17:00,http://www.nlb.mk,,,,023089090,,
21.4100251,41.9947725,bank,Комерцијална Банка,yes,Komercijalna Banka,Комерцијална Банка АД Скопје,Komercijalna Banka,,,,,,,,,,,,,
21.4391635,41.999175,bank,Western Union,,,,,Булевар Гоце Делчев,,,,,,,,,,,,
21.4401439,42.0022117,bank,Стопанска Банка,,,,,Булевар Крсте Мисирков,,,,,,,,,,,,
21.4641508,42.0029983,bank,Стопанска банка,yes,Stopanska banka,Стопанска банка АД - Скопје,Stopanska Banka,,,,,,,,,,,,,
21.4600367,41.9894468,bank,,,,,,,,,,,,,,,,,,
21.4629871,41.9867167,bank,,,,,,,,,,,,,,,,,,
21.4637512,41.9862724,bank,,,,,,,,,,,,,,,,,,
21.4669741,41.9861457,bank,,,,,,,,,,,,,,,,,,
21.4624841,41.9870236,bank,,,,,,,,,,,,,,,,,,
21.4392671,41.9833896,bank,Уни Банка - Кисела Вода,,,,,,,,Уни Банка - Кисела Вода,,,,,,,,,
21.4405306,41.9809376,bank,Стопанска Банка,,,,,,,,,,,,,,,,,
21.4400132,41.9818419,bank,Шпаркасе,yes,Sparkasse,Шпаркасе Банка Македонија АД Скопје,Šparkase,,1000,Cкoпje,,,,,Skopje,MK,,,,
21.4387451,41.9846955,bank,Комерцијална Банка,,,,,,,,,,,,,,,,,
21.4390666,41.9846465,bank,NLB Тутунска Банка,yes,,,,,,,,,,,,,,,,
21.4437565,41.9857966,bank,Тутунска Банка,,,Тутунска Банка,,3та Македонска Бригада бр.1,,,,20,,,,,,,,
21.4423152,41.9940162,bank,Stopanska Banka,,,,,,,,,,,,,,,,,
21.4425119,41.9941727,bank,Централен Регистер на РМ,,,,,,,,,,,,,,,,,
21.4428736,41.9936657,bank,НБРМ,,,Народна банка на Македонија (НРБМ),,,,,,,,,,,,,,
21.4502163,41.9892067,bank,,,,,,,,,,,,,,,,,,
21.45507,41.9881141,bank,,,,Охридска Банка,,,,,,,,,,,,,,
21.4552843,41.9881468,bank,Стопанска Банка,,Stopanska Banka,Стопанска Банка АД - Скопје,Stopanska Banka,,,,,,,,,,,,,
21.5041118,42.0035936,bank,НЛБ Тутунска Банка,yes,,,,,,,,,,http://www.nlbtb.com.mk/,,,no,,,
21.5951438,42.1552652,bank,,,,,,,,,,,,,,,,,,
21.4998637,41.9967666,bank,Комерцијална Банка,,,,,,,,,,,,,,,,,
21.4447546,42.0304003,bank,,yes,,,,,,,,,,,,,,,,
21.4447847,42.0311804,bank,,,,,,,,,,,,,,,,,,
21.3966968,42.0033742,bank,Sparkase,yes,,,,,,,,,,,,,,,,0
21.3975443,42.0024666,bank,Охридска Банка,,Ohridska Banka SG,,,,,,Охридска Банка,,,,,,,,,
21.3989023,42.0031153,bank,Шпаркасе,,Sparkasse,Шпаркасе Банка Македонија АД Скопје,Šparkase,,1000,Cкoпje,,,,,Skopje,MK,,,,
21.4004646,42.0029303,bank,УНИБанка,,UNIBank,,,,,,,,,http://www.unibank.com.mk/,,,,,,
21.4008798,42.0028742,bank,TTK Bank,,,,,,,,,,,,,,,,,
21.4011278,42.0028422,bank,Комерцијална Банка,yes,Komercijalna Banka,Комерцијална Банка АД Скопје,Komercijalna Banka,,,,,,,,,,,,,
21.3970663,42.0036469,bank,НЛБ Тутунска Банка,,NLB Tutunska Banka,,,,,,,,,,,,,,,
21.4275923,41.9937523,bank,,,,,,,,,,,,,,,,,,
21.4276102,41.9948876,bank,TTK,,,,,,,,,,,,,,,,,
21.4299102,41.9928192,bank,Комерцијална Банка,yes,Komercijalna Bank,,Komercijalna Banka,Македонија,1000,Скопје,,,,,,,,,,
21.4276726,41.9963482,bank,,,,,,,,,,,,,,,,,,
21.4296796,41.9952676,bank,ПроКредит,,,,,,,,procredit,,,,,,,,,
